Startup YC link,Startup Name,Startup Location,Discription,Batch,_tagLink_zhfs4_1040 href 2,Type,Industry
https://www.ycombinator.com/companies/canary,Canary,"San Francisco, CA, USA",The first AI QA engineer that understands your codebase,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/usereframe,Reframe,"San Francisco, CA, USA",AI agents to automate hardware procurement,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Marketing
https://www.ycombinator.com/companies/remy-ai,Remy AI,"San Francisco, CA, USA",Automating dexterous tasks in warehouses,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Manufacturing and Robotics
https://www.ycombinator.com/companies/zatanna,Zatanna,"San Francisco, CA, USA",Adaptive Healthcare Admin Agents,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Office Management
https://www.ycombinator.com/companies/terminal-use,Terminal Use,"San Francisco, CA, USA",Vercel for background agents,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/pirislabs,Piris Labs,"San Francisco, CA, USA",Inference at Light Speed,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/trycardinal-ai,Cardinal,,AI Platform for Precision Outbound,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/cascade,Cascade,"San Francisco, CA, USA",Making Autonomous Intelligence Safe & Reliable,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/overshoot,Overshoot,"San Francisco, CA, USA",Enable developers to build and run AI vision applications,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/crosslayer-labs,Crosslayer Labs,"San Francisco, CA, USA","Protect, monitor and defend your Internet presence",Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Security
https://www.ycombinator.com/companies/emdash,Emdash,"San Francisco, CA, USA",Open-source Agentic Development Environment,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Productivity
https://www.ycombinator.com/companies/origami-robotics,Origami Robotics,"Millbrae, CA, USA",Manipulate Anything Robot,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,
https://www.ycombinator.com/companies/wayco,Wayco,,AI operator for legal case referrals,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Legal
https://www.ycombinator.com/companies/synthetic-sciences,Synthetic Sciences,,AI co-scientists that run research end-to-end,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/maven,Maven,"San Francisco, CA, USA",Payments for Voice Agents,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/beacon-health,Beacon Health,"New York, NY, USA",AI Agents for Primary Care,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,
https://www.ycombinator.com/companies/robby,Robby,"San Francisco, CA, USA",Agentic revenue growth for home service businesses.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Productivity
https://www.ycombinator.com/companies/unisson,Unisson,"San Francisco, CA, USA",The AI product specialist for customer-facing teams,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Productivity
https://www.ycombinator.com/companies/salus,Salus,"San Francisco, CA, USA",Guardrails to validate your agent's actions before they execute,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/beesafe-ai,BeeSafe AI,"San Francisco, CA, USA",Stopping Scams Before They Reach Your Customers,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Security
https://www.ycombinator.com/companies/autumn-ai,Autumn AI,"San Francisco, CA, USA",Stalk your prospects at scale.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/lucent,Lucent,"San Francisco, CA, USA",AI that automatically watches your session replays to detect bugs.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/zerosettle,ZeroSettle,,Avoid the 30% App Store Tax by Supporting Direct Billing in your App,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,Payments
https://www.ycombinator.com/companies/resonate,Resonate,,The first AI-native messaging platform.,Winter 2026,https://www.ycombinator.com/companies?industry=Consumer,Consumer,
https://www.ycombinator.com/companies/maywood,Maywood,"New York, NY, USA",AI for M&A,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,Banking and Exchange
https://www.ycombinator.com/companies/ditto-biosciences,Ditto Biosciences,"San Francisco, CA, USA",Evolutionary therapies for autoimmune disease,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,Drug Discovery and Delivery
https://www.ycombinator.com/companies/sitefire,sitefire,"San Francisco, CA, USA",Marketing suite for the agentic web,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Marketing
https://www.ycombinator.com/companies/origin-bio,Origin,"San Francisco, CA, USA",AI for safer cell & gene therapies,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,Drug Discovery and Delivery
https://www.ycombinator.com/companies/vela,Vela,"San Francisco, CA, USA",The AI Scheduling Assistant that truly knows you.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/condor-energy,Condor Energy,,"Energy OS enabling reliable, cheap and sustainable electricity supply.",Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Energy
https://www.ycombinator.com/companies/samora-ai,Samora AI,"San Francisco, CA, USA",Multilingual voice agents with safe human escalation when needed,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/sentrial,Sentrial,"San Francisco, CA, USA",Production Monitoring for AI Products,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/beyond-reach-labs,Beyond Reach Labs,,Space solar arrays that grow to the size of a football field in orbit,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Aviation and Space
https://www.ycombinator.com/companies/bits-2,Bits,"San Francisco, CA, USA",Fast and Safe OpenClaw on the cloud,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/rev1,REV1,"San Francisco, CA, USA",Shortening hardware design cycles by automating post-CAD work,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/fort,Fort,"San Francisco, CA, USA",Strength Tracking Wearable,Winter 2026,https://www.ycombinator.com/companies?industry=Consumer,Consumer,Consumer Electronics
https://www.ycombinator.com/companies/stilta,Stilta,"San Francisco, CA, USA",Cursor for patent attorneys,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/general-legal,General Legal,,The AI native law firm for growth stage companies,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Legal
https://www.ycombinator.com/companies/tsenta,Tsenta,,"AI-Native, On-Device Job Automation",Summer 2026,https://www.ycombinator.com/companies?industry=Consumer,Consumer,Job and Career Services
https://www.ycombinator.com/companies/fullseam,FullSeam,,FullSeam is an AI employee for finance and accounting teams.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Finance and Accounting
https://www.ycombinator.com/companies/ruma-care,Ruma Care,"San Francisco, CA, USA",We help clinics get patients on biologics faster,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,
https://www.ycombinator.com/companies/rhizome-ai,Rhizome AI,"Jersey City, NJ, USA",Always know what the FDA thinks,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/kyten-technologies,Kyten Technologies,"Seattle, WA, USA",Custom aerospace-grade battery pack factory,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Manufacturing and Robotics
https://www.ycombinator.com/companies/oximy,Oximy,"San Francisco, CA, USA",The system of record for enterprise AI usage.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/orthogonal,Orthogonal,"San Francisco, CA, USA",Agentic Payments for APIs,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/fenrock-ai-yc-w26,Fenrock AI (YC W26),"San Francisco, CA, USA",The most powerful AI agents for Financial Crime Compliance,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,
https://www.ycombinator.com/companies/strand-ai,Strand AI,"San Francisco, CA, USA",Curated multimodal datasets for biology AI,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,Drug Discovery and Delivery
https://www.ycombinator.com/companies/catchback-cards,CatchBack Cards,"San Francisco, CA, USA",a platform for maximizing the thrill of collecting trading cards,Winter 2026,https://www.ycombinator.com/companies?industry=Consumer,Consumer,Gaming
https://www.ycombinator.com/companies/librar-labs,Librar Labs,,The next generation of the intelligence layer for the physical world,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/inviscid-ai,Inviscid AI,"San Francisco, CA, USA",Real-time Building Simulations to Optimize Energy and Operational…,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/pollinate,Pollinate,"San Francisco, CA, USA",AI Agents for the supply chain.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Supply Chain and Logistics
https://www.ycombinator.com/companies/booko,Booko,"San Francisco, CA, USA",Dynamic pricing for businesses that sell time slots,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/mendral,Mendral,"San Francisco, CA, USA",AI DevOps Engineer,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/moda,Moda,"San Francisco, CA, USA",The monitoring & analytics layer your AI agents need.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/axis-2,Axis,,An AI Trading System for Commodities Markets,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,
https://www.ycombinator.com/companies/robodock,RoboDock,"San Francisco, CA, USA",Robots that run autonomous depots for autonomous fleets.,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Energy
https://www.ycombinator.com/companies/aurorin-cad,Aurorin CAD,"San Francisco, CA, USA",We help hardware companies ship faster,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/mousecat,MouseCat,"New York, NY, USA",The AI Toolkit for Risk Teams,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/arc-prize-foundation,ARC Prize Foundation,Remote,AI benchmarks that measure general intelligence and inspire new ideas,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,
https://www.ycombinator.com/companies/polymath,Polymath,"San Francisco, CA, USA",Automating RL environment generation,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/codewisp,CodeWisp,"San Francisco, CA, USA",Anyone can create real games with AI,Winter 2026,https://www.ycombinator.com/companies?industry=Consumer,Consumer,Gaming
https://www.ycombinator.com/companies/getbalance,Balance,,Full-Stack AI Accounting,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Finance and Accounting
https://www.ycombinator.com/companies/grade,Grade,"San Francisco, CA, USA",Payroll for performance,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,Payments
https://www.ycombinator.com/companies/hex-security,Hex Security,"San Francisco, CA, USA",Agentic Offensive Security at Scale,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Security
https://www.ycombinator.com/companies/daivin,DAIVIN!,"San Francisco, CA, USA","Tankless Dive Gear - Breath Autonomy at Sea, Land & Space",Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Defense
https://www.ycombinator.com/companies/lance,Lance,"San Francisco, CA, USA",Your Hotel's Best Employees,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/zymbly,Zymbly,,Automates admin for aircraft technicians,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/dronetector,DroneTector,,Technology to detect and track hostile drones,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Drones
https://www.ycombinator.com/companies/crow,Crow,"San Francisco, CA, USA",Let users control your app through chat,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/compresr,Compresr,"San Francisco, CA, USA",LLM-native context compression,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/forum,Forum,"San Francisco, CA, USA",The first regulated exchange to trade on attention.,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,
https://www.ycombinator.com/companies/jinba,Jinba,,Automate any enterprise workflow through chat,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/voxel-energy,Voxel Energy,,Energy independent data centers with solar and repurposed batteries.,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Energy
https://www.ycombinator.com/companies/perfectly,Perfectly,"San Francisco, CA, USA",The AI-native Recruiting Operating System,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/clam,Clam,"San Francisco, CA, USA",Enterprise-grade security for broad-access AI Agents like OpenClaw,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/byteport,Byteport,"San Francisco, CA, USA",Global upload acceleration for 1GB-100TB files.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/martini,Martini,"San Francisco, CA, USA",Collaborative AI-native filmmaking for professionals,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/sparkles,Sparkles,"San Francisco, CA, USA",Make everyone on your team an engineer,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/grazemate,GrazeMate,"San Francisco, CA, USA",Robot Cowboys that Herd Cattle with AI Drones,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Agriculture
https://www.ycombinator.com/companies/shofo,Shofo,"San Francisco, CA, USA",Common Crawl for Video,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/cumulus-labs,Cumulus Labs,"San Francisco, CA, USA",Performant serverless GPU inference,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/squid,Squid,,AI-powered grid planning in your browser ?? (squid.energy),Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Energy
https://www.ycombinator.com/companies/seeing-systems,Seeing Systems,,AI Drone Systems for Defence,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Defense
https://www.ycombinator.com/companies/q2q,Q2Q,"San Francisco, CA, USA",We help private equity teams find acquisition targets faster,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Finance and Accounting
https://www.ycombinator.com/companies/ritivel,Ritivel,"San Francisco, CA, USA",AI-native platform for regulatory document submission,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,Healthcare IT
https://www.ycombinator.com/companies/scout-out,Scout Out,"San Francisco, CA, USA",AI generated proposals for residential construction projects,Winter 2026,https://www.ycombinator.com/companies?industry=Real%20Estate%20and%20Construction,Real Estate and Construction,
https://www.ycombinator.com/companies/opalite-health,Opalite Health,"Palo Alto, CA, USA",Solving language barriers in healthcare,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,
https://www.ycombinator.com/companies/10x-science,10x Science,"San Francisco, CA, USA",The AI-native platform for next-generation protein characterization.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/ishikilabs,Fern (Formerly Ishiki Labs),,Realtime AI starting with sales,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/copperlane,Copperlane,,Agents for Mortgage Origination,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Finance and Accounting
https://www.ycombinator.com/companies/verdex,Verdex,"San Francisco, CA, USA",Satellite Imagery Verification for Insurance,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,Insurance
https://www.ycombinator.com/companies/cardboard,Cardboard,"San Francisco, CA, USA",Agentic video editor,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/fed10,Fed10,"San Francisco, CA, USA",AI agents that replace your policy consultants,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Legal
https://www.ycombinator.com/companies/chamber,Chamber,"San Francisco, CA, USA",Autopiloting your AI infrastructure,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/arcline,Arcline,,Startup legal work handled by elite lawyers & same-day turnaround,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Legal
https://www.ycombinator.com/companies/spotpay,SpotPay,"San Francisco, CA, USA",Cross-border Personal Finance on Stablecoins,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,Consumer Finance
https://www.ycombinator.com/companies/laurence,Laurence,,RL for performance marketing,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Analytics
https://www.ycombinator.com/companies/sequence-markets,Sequence Markets,"New York, NY, USA",Smarter and faster trade execution for digital assets,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,
https://www.ycombinator.com/companies/tensol,Tensol,"San Francisco, CA, USA","AI Employees for your Business, Powered by OpenClaw",Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/galactic-resource-utilization-space-inc-gru-space,"Galactic Resource Utilization Space, Inc. (GRU Space)","San Francisco, CA, USA",Building the First Hotel on the Moon,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Aviation and Space
https://www.ycombinator.com/companies/kita,Kita,"San Francisco, CA, USA",Turn documents into signals for lenders,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,
https://www.ycombinator.com/companies/corelayer,Corelayer,"San Francisco, CA, USA",AI on-call engineer that debugs using data,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/ramain,RamAIn,"San Francisco, CA, USA",Super fast computer-use agents to build AI employees.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/visibl-semiconductors,Visibl Semiconductors,"San Francisco, CA, USA",AI agents for chip design.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/sidekit,SideKit,"San Francisco, CA, USA",One package to take your mobile app to production.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Analytics
https://www.ycombinator.com/companies/protent,Protent,"San Francisco, CA, USA",Protent turns passive surveillance into proactive intelligence.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Security
https://www.ycombinator.com/companies/human-archive,Human Archive,"San Francisco, CA, USA",Multimodal data provider for robotics learning,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Manufacturing and Robotics
https://www.ycombinator.com/companies/veriad,Veriad,"San Francisco, CA, USA",AI compliance officers,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/runanywhere,RunAnywhere,,The default way of running On-Device AI at Scale,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/traverse,Traverse,"San Francisco, CA, USA",Data research company building RL envs for non-deterministic work,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/arzule,Arzule,"San Francisco, CA, USA","AI-native revenue engine, starting with B2B partnerships",Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/burt,Burt,"San Francisco, CA, USA",AI teammates for logistics,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Supply Chain and Logistics
https://www.ycombinator.com/companies/panta,Panta,"San Francisco, CA, USA",Commercial insurance brokerage run by AI agents. Scales like software.,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,Insurance
https://www.ycombinator.com/companies/lexius,Lexius,"San Francisco, CA, USA",AI Security Guards,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Security
https://www.ycombinator.com/companies/pax-historia,Pax Historia,"San Francisco, CA, USA",The first AI-powered grand strategy platform,Winter 2026,https://www.ycombinator.com/companies?industry=Consumer,Consumer,Gaming
https://www.ycombinator.com/companies/bujo,Bujo AI,"San Francisco, CA, USA",AI voice & chat agents for sales and customer support at large B2C…,Spring 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
