YC link,Name,Location,Discription,Batch,Type,Industry,Website URL
https://www.ycombinator.com/companies/canary,Canary,SF,The first AI QA engineer that understands your codebase,Winter 2026,B2B,"Engineering, Product and Design",https://www.runcanary.ai/
https://www.ycombinator.com/companies/usereframe,Reframe,SF,AI agents to automate hardware procurement,Winter 2026,B2B,Marketing,http://usereframe.ai/
https://www.ycombinator.com/companies/remy-ai,Remy AI,SF,Automating dexterous tasks in warehouses,Winter 2026,Industrials,Manufacturing and Robotics,https://www.tryremy.ai/
https://www.ycombinator.com/companies/zatanna,Zatanna,SF,Adaptive Healthcare Admin Agents,Winter 2026,B2B,Office Management,https://www.zatanna.ai/
https://www.ycombinator.com/companies/terminal-use,Terminal Use,SF,Vercel for background agents,Winter 2026,B2B,Infrastructure,https://www.terminaluse.com/
https://www.ycombinator.com/companies/pirislabs,Piris Labs,SF,Inference at Light Speed,Winter 2026,B2B,Infrastructure,https://pirislabs.io/
https://www.ycombinator.com/companies/trycardinal-ai,Cardinal,,AI Platform for Precision Outbound,Winter 2026,B2B,,https://trycardinal.ai/
https://www.ycombinator.com/companies/cascade,Cascade,SF,Making Autonomous Intelligence Safe & Reliable,Winter 2026,B2B,Infrastructure,https://runcascade.com/
https://www.ycombinator.com/companies/overshoot,Overshoot,SF,Enable developers to build and run AI vision applications,Winter 2026,B2B,,https://overshoot.ai/
https://www.ycombinator.com/companies/crosslayer-labs,Crosslayer Labs,SF,"Protect, monitor and defend your Internet presence",Winter 2026,B2B,Security,https://www.crosslayerlabs.com/
https://www.ycombinator.com/companies/emdash,Emdash,SF,Open-source Agentic Development Environment,Winter 2026,B2B,Productivity,https://emdash.sh/
https://www.ycombinator.com/companies/origami-robotics,Origami Robotics,"Millbrae, CA, USA",Manipulate Anything Robot,Winter 2026,Industrials,,https://www.origami-robotics.com/
https://www.ycombinator.com/companies/wayco,Wayco,,AI operator for legal case referrals,Winter 2026,B2B,Legal,https://wayco.ai/
https://www.ycombinator.com/companies/synthetic-sciences,Synthetic Sciences,,AI co-scientists that run research end-to-end,Winter 2026,B2B,"Engineering, Product and Design",https://syntheticsciences.ai/
https://www.ycombinator.com/companies/maven,Maven,SF,Payments for Voice Agents,Winter 2026,B2B,Infrastructure,https://trymaven.com/
https://www.ycombinator.com/companies/beacon-health,Beacon Health,NYC,AI Agents for Primary Care,Winter 2026,Healthcare,,https://www.beaconhealth.ai/
https://www.ycombinator.com/companies/robby,Robby,SF,Agentic revenue growth for home service businesses.,Winter 2026,B2B,Productivity,https://tryrobby.com/
https://www.ycombinator.com/companies/unisson,Unisson,SF,The AI product specialist for customer-facing teams,Winter 2026,B2B,Productivity,https://www.unisson.ai/
https://www.ycombinator.com/companies/salus,Salus,SF,Guardrails to validate your agent's actions before they execute,Winter 2026,B2B,Infrastructure,https://www.usesalus.ai/
https://www.ycombinator.com/companies/beesafe-ai,BeeSafe AI,SF,Stopping Scams Before They Reach Your Customers,Winter 2026,B2B,Security,https://beesafe.ai/
https://www.ycombinator.com/companies/autumn-ai,Autumn AI,SF,Stalk your prospects at scale.,Winter 2026,B2B,Infrastructure,https://autumnai.com/
https://www.ycombinator.com/companies/lucent,Lucent,SF,AI that automatically watches your session replays to detect bugs.,Winter 2026,B2B,,https://lucenthq.com/
https://www.ycombinator.com/companies/zerosettle,ZeroSettle,,Avoid the 30% App Store Tax by Supporting Direct Billing in your App,Winter 2026,Fintech,Payments,https://zerosettle.io/
https://www.ycombinator.com/companies/resonate,Resonate,,The first AI-native messaging platform.,Winter 2026,Consumer,,https://resonate.audio/
https://www.ycombinator.com/companies/maywood,Maywood,NYC,AI for M&A,Winter 2026,Fintech,Banking and Exchange,https://maywoodai.com/
https://www.ycombinator.com/companies/ditto-biosciences,Ditto Biosciences,SF,Evolutionary therapies for autoimmune disease,Winter 2026,Healthcare,Drug Discovery and Delivery,https://www.dittobio.com/
https://www.ycombinator.com/companies/sitefire,sitefire,SF,Marketing suite for the agentic web,Winter 2026,B2B,Marketing,https://sitefire.ai/
https://www.ycombinator.com/companies/origin-bio,Origin,SF,AI for safer cell & gene therapies,Winter 2026,Healthcare,Drug Discovery and Delivery,https://origin.bio/
https://www.ycombinator.com/companies/vela,Vela,SF,The AI Scheduling Assistant that truly knows you.,Winter 2026,B2B,,https://tryvela.ai/ps
https://www.ycombinator.com/companies/condor-energy,Condor Energy,,"Energy OS enabling reliable, cheap and sustainable electricity supply.",Winter 2026,Industrials,Energy,https://www.condor.energy/
https://www.ycombinator.com/companies/samora-ai,Samora AI,SF,Multilingual voice agents with safe human escalation when needed,Winter 2026,B2B,,https://samora.ai/
https://www.ycombinator.com/companies/sentrial,Sentrial,SF,Production Monitoring for AI Products,Winter 2026,B2B,"Engineering, Product and Design",https://sentrial.com/
https://www.ycombinator.com/companies/beyond-reach-labs,Beyond Reach Labs,,Space solar arrays that grow to the size of a football field in orbit,Winter 2026,Industrials,Aviation and Space,https://www.beyondreachlabs.com/
https://www.ycombinator.com/companies/bits-2,Bits,SF,Fast and Safe OpenClaw on the cloud,Winter 2026,B2B,Infrastructure,https://usebits.com/
https://www.ycombinator.com/companies/rev1,REV1,SF,Shortening hardware design cycles by automating post-CAD work,Winter 2026,B2B,"Engineering, Product and Design",https://rev1.so/
https://www.ycombinator.com/companies/fort,Fort,SF,Strength Tracking Wearable,Winter 2026,Consumer,Consumer Electronics,https://fort.cx/
https://www.ycombinator.com/companies/stilta,Stilta,SF,Cursor for patent attorneys,Winter 2026,B2B,,https://stilta.com/
https://www.ycombinator.com/companies/general-legal,General Legal,,The AI native law firm for growth stage companies,Winter 2026,B2B,Legal,https://general.legal/
https://www.ycombinator.com/companies/tsenta,Tsenta,,"AI-Native, On-Device Job Automation",Summer 2026,Consumer,Job and Career Services,https://tsenta.com/
https://www.ycombinator.com/companies/fullseam,FullSeam,,FullSeam is an AI employee for finance and accounting teams.,Winter 2026,B2B,Finance and Accounting,https://fullseam.com/
https://www.ycombinator.com/companies/ruma-care,Ruma Care,SF,We help clinics get patients on biologics faster,Winter 2026,Healthcare,,https://rumacare.com/
https://www.ycombinator.com/companies/rhizome-ai,Rhizome AI,"Jersey City, NJ, USA",Always know what the FDA thinks,Winter 2026,B2B,,https://rhizomeai.com/
https://www.ycombinator.com/companies/kyten-technologies,Kyten Technologies,"Seattle, WA, USA",Custom aerospace-grade battery pack factory,Winter 2026,Industrials,Manufacturing and Robotics,https://kytentech.com/
https://www.ycombinator.com/companies/oximy,Oximy,SF,The system of record for enterprise AI usage.,Winter 2026,B2B,Infrastructure,https://oximy.com/
https://www.ycombinator.com/companies/orthogonal,Orthogonal,SF,Agentic Payments for APIs,Winter 2026,B2B,Infrastructure,https://orthogonal.com/
https://www.ycombinator.com/companies/fenrock-ai-yc-w26,Fenrock AI (YC W26),SF,The most powerful AI agents for Financial Crime Compliance,Winter 2026,Fintech,,https://fenrock.ai/
https://www.ycombinator.com/companies/strand-ai,Strand AI,SF,Curated multimodal datasets for biology AI,Winter 2026,Healthcare,Drug Discovery and Delivery,https://strandai.com/
https://www.ycombinator.com/companies/catchback-cards,CatchBack Cards,SF,a platform for maximizing the thrill of collecting trading cards,Winter 2026,Consumer,Gaming,https://catchbackcards.com/
https://www.ycombinator.com/companies/librar-labs,Librar Labs,,The next generation of the intelligence layer for the physical world,Winter 2026,B2B,,https://www.librarlabs.com/
https://www.ycombinator.com/companies/inviscid-ai,Inviscid AI,SF,Real-time Building Simulations to Optimize Energy and Operational�,Winter 2026,B2B,"Engineering, Product and Design",https://inviscidai.com/
https://www.ycombinator.com/companies/pollinate,Pollinate,SF,AI Agents for the supply chain.,Winter 2026,B2B,Supply Chain and Logistics,https://www.pollinate.tech/
https://www.ycombinator.com/companies/booko,Booko,SF,Dynamic pricing for businesses that sell time slots,Winter 2026,B2B,,https://bookoapp.com/
https://www.ycombinator.com/companies/mendral,Mendral,SF,AI DevOps Engineer,Winter 2026,B2B,,https://mendral.com/
https://www.ycombinator.com/companies/moda,Moda,SF,The monitoring & analytics layer your AI agents need.,Winter 2026,B2B,Infrastructure,https://usemoda.ai/
https://www.ycombinator.com/companies/axis-2,Axis,,An AI Trading System for Commodities Markets,Winter 2026,Fintech,,https://axisanalysis.com/
https://www.ycombinator.com/companies/robodock,RoboDock,SF,Robots that run autonomous depots for autonomous fleets.,Winter 2026,Industrials,Energy,https://www.robodock.tech/
https://www.ycombinator.com/companies/aurorin-cad,Aurorin CAD,SF,We help hardware companies ship faster,Winter 2026,B2B,"Engineering, Product and Design",https://aurorincad.com/
https://www.ycombinator.com/companies/mousecat,MouseCat,NYC,The AI Toolkit for Risk Teams,Winter 2026,B2B,,https://www.mousecat.ai/
https://www.ycombinator.com/companies/arc-prize-foundation,ARC Prize Foundation,Remote,AI benchmarks that measure general intelligence and inspire new ideas,Winter 2026,Industrials,,https://arcprize.org/
https://www.ycombinator.com/companies/polymath,Polymath,SF,Automating RL environment generation,Winter 2026,B2B,,https://polymathlabs.ai/
https://www.ycombinator.com/companies/codewisp,CodeWisp,SF,Anyone can create real games with AI,Winter 2026,Consumer,Gaming,https://codewisp.ai/
https://www.ycombinator.com/companies/getbalance,Balance,,Full-Stack AI Accounting,Winter 2026,B2B,Finance and Accounting,https://getbalance.ai/
https://www.ycombinator.com/companies/grade,Grade,SF,Payroll for performance,Winter 2026,Fintech,Payments,https://usegrade.com/
https://www.ycombinator.com/companies/hex-security,Hex Security,SF,Agentic Offensive Security at Scale,Winter 2026,B2B,Security,https://hex.co/
https://www.ycombinator.com/companies/daivin,DAIVIN!,SF,"Tankless Dive Gear - Breath Autonomy at Sea, Land & Space",Winter 2026,Industrials,Defense,https://www.daivin.tech/
https://www.ycombinator.com/companies/lance,Lance,SF,Your Hotel's Best Employees,Winter 2026,B2B,,https://www.lance.live/
https://www.ycombinator.com/companies/zymbly,Zymbly,,Automates admin for aircraft technicians,Winter 2026,B2B,,https://www.zymbly.com/
https://www.ycombinator.com/companies/dronetector,DroneTector,,Technology to detect and track hostile drones,Winter 2026,Industrials,Drones,https://www.dronetector.com/
https://www.ycombinator.com/companies/crow,Crow,SF,Let users control your app through chat,Winter 2026,B2B,,https://www.usecrow.ai/
https://www.ycombinator.com/companies/compresr,Compresr,SF,LLM-native context compression,Winter 2026,B2B,Infrastructure,https://compresr.ai/
https://www.ycombinator.com/companies/forum,Forum,SF,The first regulated exchange to trade on attention.,Winter 2026,Fintech,,https://www.forum.market/
https://www.ycombinator.com/companies/jinba,Jinba,,Automate any enterprise workflow through chat,Winter 2026,B2B,,https://jinba.io/
https://www.ycombinator.com/companies/voxel-energy,Voxel Energy,,Energy independent data centers with solar and repurposed batteries.,Winter 2026,Industrials,Energy,https://voxelenergy.com/
https://www.ycombinator.com/companies/perfectly,Perfectly,SF,The AI-native Recruiting Operating System,Winter 2026,B2B,,https://www.perfectly.so/
https://www.ycombinator.com/companies/clam,Clam,SF,Enterprise-grade security for broad-access AI Agents like OpenClaw,Winter 2026,B2B,,https://tryclam.com/
https://www.ycombinator.com/companies/byteport,Byteport,SF,Global upload acceleration for 1GB-100TB files.,Winter 2026,B2B,,https://byteport.io/
https://www.ycombinator.com/companies/martini,Martini,SF,Collaborative AI-native filmmaking for professionals,Winter 2026,B2B,"Engineering, Product and Design",https://martini.film/
https://www.ycombinator.com/companies/sparkles,Sparkles,SF,Make everyone on your team an engineer,Winter 2026,B2B,"Engineering, Product and Design",https://sparkles.dev/
https://www.ycombinator.com/companies/grazemate,GrazeMate,SF,Robot Cowboys that Herd Cattle with AI Drones,Winter 2026,Industrials,Agriculture,https://grazemate.com/
https://www.ycombinator.com/companies/shofo,Shofo,SF,Common Crawl for Video,Winter 2026,B2B,Infrastructure,https://shofo.ai/
https://www.ycombinator.com/companies/cumulus-labs,Cumulus Labs,SF,Performant serverless GPU inference,Winter 2026,B2B,Infrastructure,https://cumuluslabs.io/
https://www.ycombinator.com/companies/squid,Squid,,AI-powered grid planning in your browser ?? (squid.energy),Winter 2026,Industrials,Energy,https://squid.energy/
https://www.ycombinator.com/companies/seeing-systems,Seeing Systems,,AI Drone Systems for Defence,Winter 2026,Industrials,Defense,https://www.seeing-systems.com/
https://www.ycombinator.com/companies/q2q,Q2Q,SF,We help private equity teams find acquisition targets faster,Winter 2026,B2B,Finance and Accounting,https://www.tryq2q.com/
https://www.ycombinator.com/companies/ritivel,Ritivel,SF,AI-native platform for regulatory document submission,Winter 2026,Healthcare,Healthcare IT,https://www.ritivel.com/
https://www.ycombinator.com/companies/scout-out,Scout Out,SF,AI generated proposals for residential construction projects,Winter 2026,Real Estate and Construction,,https://scoutout.ai/
https://www.ycombinator.com/companies/opalite-health,Opalite Health,"Palo Alto, CA, USA",Solving language barriers in healthcare,Winter 2026,Healthcare,,http://opalitehealth.com/
https://www.ycombinator.com/companies/10x-science,10x Science,SF,The AI-native platform for next-generation protein characterization.,Winter 2026,B2B,,https://10xscience.com/
https://www.ycombinator.com/companies/ishikilabs,Fern (Formerly Ishiki Labs),,Realtime AI starting with sales,Winter 2026,B2B,,https://www.ishikilabs.ai/
https://www.ycombinator.com/companies/copperlane,Copperlane,,Agents for Mortgage Origination,Winter 2026,B2B,Finance and Accounting,https://www.copperlane.ai/
https://www.ycombinator.com/companies/verdex,Verdex,SF,Satellite Imagery Verification for Insurance,Winter 2026,Fintech,Insurance,https://www.verdexai.com/
https://www.ycombinator.com/companies/cardboard,Cardboard,SF,Agentic video editor,Winter 2026,B2B,,https://usecardboard.com/
https://www.ycombinator.com/companies/fed10,Fed10,SF,AI agents that replace your policy consultants,Winter 2026,B2B,Legal,https://www.fed10.ai/
https://www.ycombinator.com/companies/chamber,Chamber,SF,Autopiloting your AI infrastructure,Winter 2026,B2B,Infrastructure,https://www.usechamber.io/
https://www.ycombinator.com/companies/arcline,Arcline,,Startup legal work handled by elite lawyers & same-day turnaround,Winter 2026,B2B,Legal,https://www.arcline-ai.com/
https://www.ycombinator.com/companies/spotpay,SpotPay,SF,Cross-border Personal Finance on Stablecoins,Winter 2026,Fintech,Consumer Finance,https://www.spotpay.ai/
https://www.ycombinator.com/companies/laurence,Laurence,,RL for performance marketing,Winter 2026,B2B,Analytics,https://trylaurence.com/
https://www.ycombinator.com/companies/sequence-markets,Sequence Markets,NYC,Smarter and faster trade execution for digital assets,Winter 2026,Fintech,,https://sequencemkts.com/
https://www.ycombinator.com/companies/tensol,Tensol,SF,"AI Employees for your Business, Powered by OpenClaw",Winter 2026,B2B,Infrastructure,https://www.tensol.ai/
https://www.ycombinator.com/companies/galactic-resource-utilization-space-inc-gru-space,"Galactic Resource Utilization Space, Inc. (GRU Space)",SF,Building the First Hotel on the Moon,Winter 2026,Industrials,Aviation and Space,https://gru.space/
https://www.ycombinator.com/companies/kita,Kita,SF,Turn documents into signals for lenders,Winter 2026,Fintech,,https://www.usekita.com/
https://www.ycombinator.com/companies/corelayer,Corelayer,SF,AI on-call engineer that debugs using data,Winter 2026,B2B,"Engineering, Product and Design",https://www.corelayer.com/
https://www.ycombinator.com/companies/ramain,RamAIn,SF,Super fast computer-use agents to build AI employees.,Winter 2026,B2B,,https://ramain.ai/
https://www.ycombinator.com/companies/visibl-semiconductors,Visibl Semiconductors,SF,AI agents for chip design.,Winter 2026,B2B,"Engineering, Product and Design",https://visiblsemi.com/
https://www.ycombinator.com/companies/sidekit,SideKit,SF,One package to take your mobile app to production.,Winter 2026,B2B,Analytics,https://approxima.ai/
https://www.ycombinator.com/companies/protent,Protent,SF,Protent turns passive surveillance into proactive intelligence.,Winter 2026,B2B,Security,https://protent.ai/
https://www.ycombinator.com/companies/human-archive,Human Archive,SF,Multimodal data provider for robotics learning,Winter 2026,Industrials,Manufacturing and Robotics,https://www.humanarchive.ai/
https://www.ycombinator.com/companies/veriad,Veriad,SF,AI compliance officers,Winter 2026,B2B,,https://veriad.com/
https://www.ycombinator.com/companies/runanywhere,RunAnywhere,,The default way of running On-Device AI at Scale,Winter 2026,B2B,Infrastructure,https://www.runanywhere.ai/
https://www.ycombinator.com/companies/traverse,Traverse,SF,Data research company building RL envs for non-deterministic work,Winter 2026,B2B,,https://www.traverse.so/
https://www.ycombinator.com/companies/arzule,Arzule,SF,"AI-native revenue engine, starting with B2B partnerships",Winter 2026,B2B,,https://www.arzule.com/
https://www.ycombinator.com/companies/burt,Burt,SF,AI teammates for logistics,Winter 2026,B2B,Supply Chain and Logistics,https://www.trainburt.com/
https://www.ycombinator.com/companies/panta,Panta,SF,Commercial insurance brokerage run by AI agents. Scales like software.,Winter 2026,Fintech,Insurance,https://pantainsure.com/
https://www.ycombinator.com/companies/lexius,Lexius,SF,AI Security Guards,Winter 2026,B2B,Security,https://www.lexius.ai/
https://www.ycombinator.com/companies/pax-historia,Pax Historia,SF,The first AI-powered grand strategy platform,Winter 2026,Consumer,Gaming,https://www.paxhistoria.co/
https://www.ycombinator.com/companies/bujo,Bujo AI,SF,AI voice & chat agents for sales and customer support at large B2C�,Spring 2026,B2B,,https://www.getbujo.com/
https://www.ycombinator.com/companies/octapulse,OctaPulse,,Robotics and computer vision to automate fish farming from hatchery�,Winter 2026,Industrials,Climate,https://www.tryoctapulse.com/
https://www.ycombinator.com/companies/haladir,Haladir,SF,Building Operational Superintelligence.,Winter 2026,B2B,Infrastructure,https://www.haladir.com/
https://www.ycombinator.com/companies/constellation-space,Constellation Space,,AI for space mission assurance.,Winter 2026,B2B,Analytics,https://constellationspace.ai/
https://www.ycombinator.com/companies/voltair,Voltair,SF,Self Charging Drones,Winter 2026,Industrials,Drones,https://voltairlabs.com/
https://www.ycombinator.com/companies/mantis-biotechnology,Mantis Biotechnology,NYC,Physics-Enhanced Datasets for Low-Resource Machine Learning,Winter 2026,B2B,Infrastructure,https://mantisbiotech.com/
https://www.ycombinator.com/companies/axionorbital-space,AxionOrbital Space,SF,Foundation models for 24/7 Earth Observation,Winter 2026,Industrials,Aviation and Space,https://axionorbital.space/
https://www.ycombinator.com/companies/travo,Travo,SF,We use AI to collect and analyze real estate data,Winter 2026,Real Estate and Construction,,https://www.travoai.com/
https://www.ycombinator.com/companies/prana-health,Prana,SF,An AI primary care doctor in your pocket,Winter 2026,Healthcare,Consumer Health and Wellness,https://pranadoc.com/
https://www.ycombinator.com/companies/ressl-ai,Ressl AI,SF,AI Transformation for the Trades,Winter 2026,B2B,,https://ressl.ai/
https://www.ycombinator.com/companies/oxus,Oxus,SF,AI-powered automation for internal audit workflows,Winter 2026,B2B,,https://oxus-ai.com/
https://www.ycombinator.com/companies/legalos,LegalOS,SF,The AI-powered law firm for complex work visas,Winter 2026,B2B,Legal,https://www.legalos.ai/
https://www.ycombinator.com/companies/sonarly,Sonarly,SF,AI engineer to triage and fix your production alerts,Winter 2026,B2B,"Engineering, Product and Design",https://sonarly.com/
https://www.ycombinator.com/companies/caretta,Caretta,SF,Realtime AI for Sales Calls,Winter 2026,B2B,Sales,https://www.caretta.so/
https://www.ycombinator.com/companies/1code-21stdev,1code (21st.dev),SF,Orchestration layer for coding agents,Winter 2026,B2B,"Engineering, Product and Design",https://21st.dev/agents
https://www.ycombinator.com/companies/autositu,AutoSitu,,AI-native workspace for municipal development review,Winter 2026,B2B,Legal,https://autositu.com/
https://www.ycombinator.com/companies/skillsync,Skillsync,SF,Find anyone in open source,Winter 2026,B2B,Human Resources,https://skillsync.wiki/
https://www.ycombinator.com/companies/chasi,Chasi,NYC,AI Revenue Engine for the Equipment Industry,Winter 2026,B2B,,https://chasi.co/
https://www.ycombinator.com/companies/o11,o11,SF,The Most Integrated M365 AI Suite,Winter 2026,B2B,Finance and Accounting,https://o11.ai/
https://www.ycombinator.com/companies/pocket,Pocket,,The world's best AI note-taking device and app,Winter 2026,Consumer,,https://heypocket.com/now
https://www.ycombinator.com/companies/bubble-lab,Bubble Lab,,Your ops super-employee in Slack,Winter 2026,B2B,"Engineering, Product and Design",https://bubblelab.ai/
https://www.ycombinator.com/companies/autonomous-technologies-group,Autonomous Technologies Group,NYC,Superintelligent financial advisor,Fall 2025,Fintech,,https://becomeautonomous.com/
https://www.ycombinator.com/companies/didit,Didit,SF,All-in-one identity platform for fast human verification.,Winter 2026,B2B,Infrastructure,https://didit.me/
https://www.ycombinator.com/companies/patientdeskai,Patientdesk.ai,,AI voice agent for patient calls & admin workflows,Winter 2026,Healthcare,Healthcare IT,https://patientdesk.ai/
https://www.ycombinator.com/companies/fifth-door,Fifth Door,SF,Create and play games with AI,Fall 2025,Consumer,Gaming,https://fifthdoor.com/
https://www.ycombinator.com/companies/avoice,Avoice,SF,The AI Workspace For Architects,Winter 2026,B2B,,https://avoice.co/
https://www.ycombinator.com/companies/luel,Luel,SF,Turning everyday words and actions into usable training data.,Winter 2026,B2B,Infrastructure,https://luel.ai/
https://www.ycombinator.com/companies/valgo,Valgo,"San Mateo, CA, USA",Algorithmic safety validation tools for autonomy.,Winter 2026,B2B,"Engineering, Product and Design",https://valgo.dev/
https://www.ycombinator.com/companies/hlabs,Hlabs,"Austin, TX, USA",Making an industrial supply chain for building robots in the USA,Winter 2026,Industrials,,https://www.hlaboratories.com/
https://www.ycombinator.com/companies/goldbridge,Goldbridge,,Ramp for Real Estate,Fall 2025,Real Estate and Construction,Housing and Real Estate,https://www.goldbridgebanking.com/
https://www.ycombinator.com/companies/corvera,Corvera,SF,AI agents for CPG brands,Winter 2026,B2B,Operations,https://www.corvera.ai/
https://www.ycombinator.com/companies/null-labs,Null Labs,SF,End-to-end Simulation for Defense Autonomy,Fall 2025,Industrials,,https://n0labs.com/
https://www.ycombinator.com/companies/tensr,Tensr,SF,Fully autonomous robotic factories,Fall 2025,Industrials,Manufacturing and Robotics,https://tensr.com/
https://www.ycombinator.com/companies/atlasgrid,AtlasGrid,"Mountain View, CA, USA",Accelerate Product Iteration,Fall 2025,B2B,"Engineering, Product and Design",https://atlasgrid.ai/
https://www.ycombinator.com/companies/mayflower,Mayflower,SF,AI plug-in that automates HR immigration screening and compliance,Fall 2025,Government,,https://mayflowervisa.com/
https://www.ycombinator.com/companies/velum-labs,Velum Labs,SF,The OS for data quality across any stack,Winter 2026,B2B,,https://www.velum-labs.com/
https://www.ycombinator.com/companies/logosguard,LogosGuard,SF,The risk management software for enterprises adopting AI,Fall 2025,B2B,,https://logosguard.com/
https://www.ycombinator.com/companies/f2,F2,NYC,The AI platform for private markets investors,Summer 2025,B2B,"Engineering, Product and Design",http://f2.ai/
https://www.ycombinator.com/companies/scoop,Scoop,SF,Automating regulatory submissions for life sciences,Fall 2025,B2B,,https://scooplabs.ai/
https://www.ycombinator.com/companies/exonic,Exonic,SF,Unsupervised Biological AI,Fall 2025,Healthcare,Drug Discovery and Delivery,https://exonic.ai/
https://www.ycombinator.com/companies/forge-robotics,Forge Robotics,SF,A robotics intelligence system for metal fabrication,Fall 2025,Industrials,Manufacturing and Robotics,https://forge-robotics.com/
